name,role,H0,Omega_m,Omega_K,w0,wa,pantheon_chi2,pantheon_dof,planck_chi2,planck_dof,desi_chi2,desi_dof,total_chi2,total_dof,reduced_total_chi2,delta_chi2_from_best,status
closed_breathing_lambda_cdm,Closed-enclosure LambdaCDM carrier with small negative curvature.,67.4,0.315,-0.001,-1.0,0.0,230.62683635045147,276,26.94545388298913,3,37.61788892070647,13,295.1901791541471,292,1.010925271075846,0.0,computed
planck_lambda_cdm_flat,Locked flat LambdaCDM reference from the CPL scaffold.,67.4,0.315,0.0,-1.0,0.0,230.62476239024116,276,102.96519216814607,3,38.63634078650788,13,372.22629534489516,292,1.2747475867975862,77.03611619074809,computed
observed_summary_best_fit,Best-fit summary point from the observed-summary residual certificate.,69.15456889642843,0.315,0.001,-0.838,-0.6295493277788298,230.69278339857087,276,970.3862241501002,3,144.77103700576563,13,1345.8500445544369,292,4.609075495049441,1050.6598654002898,computed
shoes_h0_lambda_cdm_flat,Local-distance-ladder H0 point with flat LambdaCDM background.,73.04,0.315,0.0,-1.0,0.0,230.62476239024056,276,17285.0729982045,3,363.6144732250298,13,17879.31223381977,292,61.23052134869785,17584.122054665626,computed
