name,role,H0,Omega_m,Omega_K,w0,wa,omega_b_h2,z_drag,rd_mpc,chi2,dof,reduced_chi2,rms_residual,max_abs_residual,status
planck_lambda_cdm_flat,Locked flat LambdaCDM reference from the CPL scaffold.,67.4,0.315,0.0,-1.0,0.0,0.02235976,1020.7013262535892,150.57688740581438,38.63634078650788,13,2.97202621434676,0.4275509009803374,0.9572693803051422,computed
closed_breathing_lambda_cdm,Closed-enclosure LambdaCDM carrier with small negative curvature.,67.4,0.315,-0.001,-1.0,0.0,0.02235976,1020.7013262535892,150.5769503488747,37.61788892070647,13,2.893683763131267,0.42511455196299947,0.9523007364509866,computed
observed_summary_best_fit,Best-fit summary point from the observed-summary residual certificate.,69.15456889642843,0.315,0.001,-0.838,-0.6295493277788298,0.02235976,1021.2939801249063,148.55908868489277,144.77103700576563,13,11.136233615828125,0.7070340267485575,1.4899854162130524,computed
shoes_h0_lambda_cdm_flat,Local-distance-ladder H0 point with flat LambdaCDM background.,73.04,0.315,0.0,-1.0,0.0,0.02235976,1022.3606409153474,144.2618361263113,363.6144732250298,13,27.970344094233063,1.1014209910625998,2.136734616036108,computed
