name,role,H0,Omega_m,Omega_K,w0,wa,chi2,dof,reduced_chi2,best_additive_offset_mag,rms_residual_mag,max_abs_residual_mag,status
planck_lambda_cdm_flat,Locked flat LambdaCDM reference from the CPL scaffold.,67.4,0.315,0.0,-1.0,0.0,230.62476239024116,276,0.8355969651820332,0.1821453803324114,0.134958753178202,0.6421952295288553,computed
closed_breathing_lambda_cdm,Closed-enclosure LambdaCDM carrier with small negative curvature.,67.4,0.315,-0.001,-1.0,0.0,230.62683635045147,276,0.8356044795306212,0.1822074178527148,0.13495693995052627,0.6421598158802352,computed
observed_summary_best_fit,Best-fit summary point from the observed-summary residual certificate.,69.15456889642843,0.315,0.001,-0.838,-0.6295493277788298,230.69278339857087,276,0.835843418110764,0.1172604661641338,0.13530729967332655,0.6470815219555625,computed
shoes_h0_lambda_cdm_flat,Local-distance-ladder H0 point with flat LambdaCDM background.,73.04,0.315,0.0,-1.0,0.0,230.62476239024056,276,0.835596965182031,0.007641040377798077,0.13495875317820186,0.6421952295288523,computed
