scenario,level,phi,alpha,scale,shell_radius,wavelength,height,ripple_index,initial_ripple_index
sand_ripple_index_15,0,1.618033988749895,0.6180339887498948,1.0,1.0,0.15,0.01,15.0,15.0
sand_ripple_index_15,1,1.618033988749895,0.6180339887498948,0.6180339887498948,0.6180339887498948,0.09270509831248422,0.0061803398874989484,14.999999999999998,15.0
sand_ripple_index_15,2,1.618033988749895,0.6180339887498948,0.3819660112501051,0.3819660112501051,0.05729490168751576,0.003819660112501051,15.0,15.0
sand_ripple_index_15,3,1.618033988749895,0.6180339887498948,0.23606797749978964,0.23606797749978964,0.03541019662496844,0.0023606797749978962,15.0,15.0
sand_ripple_index_15,4,1.618033988749895,0.6180339887498948,0.1458980337503154,0.1458980337503154,0.02188470506254731,0.001458980337503154,14.999999999999998,15.0
sand_ripple_index_15,5,1.618033988749895,0.6180339887498948,0.0901699437494742,0.0901699437494742,0.01352549156242113,0.000901699437494742,15.0,15.0
sand_ripple_index_15,6,1.618033988749895,0.6180339887498948,0.05572809000084118,0.05572809000084118,0.008359213500126177,0.0005572809000084118,15.0,15.0
sand_ripple_index_15,7,1.618033988749895,0.6180339887498948,0.034441853748633004,0.034441853748633004,0.00516627806229495,0.00034441853748633006,14.999999999999998,15.0
sand_ripple_index_15,8,1.618033988749895,0.6180339887498948,0.02128623625220817,0.02128623625220817,0.0031929354378312257,0.0002128623625220817,15.0,15.0
sand_ripple_index_15,9,1.618033988749895,0.6180339887498948,0.013155617496424828,0.013155617496424828,0.001973342624463724,0.0001315561749642483,14.999999999999998,15.0
sand_ripple_index_15,10,1.618033988749895,0.6180339887498948,0.008130618755783341,0.008130618755783341,0.0012195928133675012,8.130618755783341e-05,15.0,15.0
sand_ripple_index_15,11,1.618033988749895,0.6180339887498948,0.005024998740641485,0.005024998740641485,0.0007537498110962227,5.024998740641485e-05,14.999999999999998,15.0
sand_ripple_index_15,12,1.618033988749895,0.6180339887498948,0.003105620015141855,0.003105620015141855,0.00046584300227127824,3.105620015141855e-05,14.999999999999998,15.0
water_ripple_index_8,0,1.618033988749895,0.6180339887498948,1.0,2.0,0.08,0.01,8.0,8.0
water_ripple_index_8,1,1.618033988749895,0.6180339887498948,0.6180339887498948,1.2360679774997896,0.04944271909999159,0.0061803398874989484,8.0,8.0
water_ripple_index_8,2,1.618033988749895,0.6180339887498948,0.3819660112501051,0.7639320225002102,0.030557280900008407,0.003819660112501051,8.0,8.0
water_ripple_index_8,3,1.618033988749895,0.6180339887498948,0.23606797749978964,0.4721359549995793,0.01888543819998317,0.0023606797749978962,8.0,8.0
water_ripple_index_8,4,1.618033988749895,0.6180339887498948,0.1458980337503154,0.2917960675006308,0.011671842700025232,0.001458980337503154,8.0,8.0
water_ripple_index_8,5,1.618033988749895,0.6180339887498948,0.0901699437494742,0.1803398874989484,0.007213595499957936,0.000901699437494742,8.0,8.0
water_ripple_index_8,6,1.618033988749895,0.6180339887498948,0.05572809000084118,0.11145618000168236,0.004458247200067295,0.0005572809000084118,8.0,8.0
water_ripple_index_8,7,1.618033988749895,0.6180339887498948,0.034441853748633004,0.06888370749726601,0.0027553482998906404,0.00034441853748633006,8.0,8.0
water_ripple_index_8,8,1.618033988749895,0.6180339887498948,0.02128623625220817,0.04257247250441634,0.0017028989001766537,0.0002128623625220817,8.0,8.0
water_ripple_index_8,9,1.618033988749895,0.6180339887498948,0.013155617496424828,0.026311234992849656,0.0010524493997139863,0.0001315561749642483,8.0,8.0
water_ripple_index_8,10,1.618033988749895,0.6180339887498948,0.008130618755783341,0.016261237511566683,0.0006504495004626673,8.130618755783341e-05,8.0,8.0
water_ripple_index_8,11,1.618033988749895,0.6180339887498948,0.005024998740641485,0.01004999748128297,0.0004019998992513188,5.024998740641485e-05,8.0,8.0
water_ripple_index_8,12,1.618033988749895,0.6180339887498948,0.003105620015141855,0.00621124003028371,0.0002484496012113484,3.105620015141855e-05,8.0,8.0
wide_megaripple_index_20,0,1.618033988749895,0.6180339887498948,1.0,30.0,4.0,0.2,20.0,20.0
wide_megaripple_index_20,1,1.618033988749895,0.6180339887498948,0.6180339887498948,18.541019662496844,2.472135954999579,0.12360679774997896,20.0,20.0
wide_megaripple_index_20,2,1.618033988749895,0.6180339887498948,0.3819660112501051,11.458980337503153,1.5278640450004204,0.07639320225002103,20.0,20.0
wide_megaripple_index_20,3,1.618033988749895,0.6180339887498948,0.23606797749978964,7.082039324993689,0.9442719099991586,0.04721359549995793,19.999999999999996,20.0
wide_megaripple_index_20,4,1.618033988749895,0.6180339887498948,0.1458980337503154,4.376941012509462,0.5835921350012616,0.02917960675006308,20.0,20.0
wide_megaripple_index_20,5,1.618033988749895,0.6180339887498948,0.0901699437494742,2.7050983124842256,0.3606797749978968,0.018033988749894838,20.0,20.0
wide_megaripple_index_20,6,1.618033988749895,0.6180339887498948,0.05572809000084118,1.6718427000252354,0.22291236000336473,0.011145618000168236,20.0,20.0
wide_megaripple_index_20,7,1.618033988749895,0.6180339887498948,0.034441853748633004,1.0332556124589902,0.13776741499453202,0.0068883707497266015,19.999999999999996,20.0
