source_root,file,theory,line,kind,subtype,name,operator_like,excerpt
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_GyromagneticMovement_Computational_Checks.thy,TZPID_GyromagneticMovement_Computational_Checks,1,theory,theory,TZPID_GyromagneticMovement_Computational_Checks,no,theory TZPID_GyromagneticMovement_Computational_Checks
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_GyromagneticMovement_CorrectedWinding.thy,TZPID_GyromagneticMovement_CorrectedWinding,1,theory,theory,TZPID_GyromagneticMovement_CorrectedWinding,no,theory TZPID_GyromagneticMovement_CorrectedWinding
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_GyromagneticMovement_Focus.thy,TZPID_GyromagneticMovement_Focus,1,theory,theory,TZPID_GyromagneticMovement_Focus,no,theory TZPID_GyromagneticMovement_Focus
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_GyromagneticMovement_LoopIndex.thy,TZPID_GyromagneticMovement_LoopIndex,1,theory,theory,TZPID_GyromagneticMovement_LoopIndex,no,theory TZPID_GyromagneticMovement_LoopIndex
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_GyromagneticMovement_MHD_Helicity.thy,TZPID_GyromagneticMovement_MHD_Helicity,1,theory,theory,TZPID_GyromagneticMovement_MHD_Helicity,no,theory TZPID_GyromagneticMovement_MHD_Helicity
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_GyromagneticMovement_SpatialBoundary.thy,TZPID_GyromagneticMovement_SpatialBoundary,1,theory,theory,TZPID_GyromagneticMovement_SpatialBoundary,no,theory TZPID_GyromagneticMovement_SpatialBoundary
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_GyromagneticMovement_Typed_PhaseGradient.thy,TZPID_GyromagneticMovement_Typed_PhaseGradient,1,theory,theory,TZPID_GyromagneticMovement_Typed_PhaseGradient,no,theory TZPID_GyromagneticMovement_Typed_PhaseGradient
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_GyromagneticMovement_VectorCalculus.thy,TZPID_GyromagneticMovement_VectorCalculus,1,theory,theory,TZPID_GyromagneticMovement_VectorCalculus,no,theory TZPID_GyromagneticMovement_VectorCalculus
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_GyroWave_Sky.thy,TZPID_GyroWave_Sky,1,theory,theory,TZPID_GyroWave_Sky,no,theory TZPID_GyroWave_Sky
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_HubbleBreathing_ClosedDistance.thy,TZPID_HubbleBreathing_ClosedDistance,1,theory,theory,TZPID_HubbleBreathing_ClosedDistance,no,theory TZPID_HubbleBreathing_ClosedDistance
